,khach_cmt,rating,shop_phan_hoi
90,đặt 11/11 mà tới  tháng 12 mới đóng gói. mẫu m đặt thì hết( hình1) đổi mẫu khi nhận được thì hơi thất vọng vì đường chỉ quần màu trắng ko phải màu xanh như hình. mong shop để ý hơn khi giao đồ. tks,4,Cảm ơn Anh chị bitran1bitran đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
91,Được 1 bộ không phai màu. Còn lại giặt bị lem màu hết. Shop nên giặt vải màu trước khi may,4,Cảm ơn Anh chị duybui1980 đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
92,"Chất vải đẹp tuy nhiên shop thiết kế ko có nút cài ở phần đũng nên mặc sẽ bị lòi hết phần bỉm ra ngoài, bé mình ko mặc đc. Chấm điểm dịch vụ shop thôi chứ sản phẩm cần phải điều chỉnh nhé! Đây là hình bộ đồ tết, mặc thử xg thấy bộ trắng đen lỗi y chang nên mình lấy hình bộ tương tự nha!",4,Cảm ơn Anh chị huyen_nguyen1987 đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
93,"Sp hợp vs tiền nên mua, đẹp lắm xl shop e bận quá k quay video sp đk",4,Cảm ơn Anh chị hoangthinuong080597 đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
94,"Vải áo dày dặn, đẹp, nhưng 2 cái dây áo kia bị lại là 2 cái khác nhau với 1 bên dây áo trũng ( cũng được nha)",4,Cảm ơn Anh chị mauhoang203 đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
95,"Kg giống hình cho lắm , cổ trên mẫu màu trắng mà ngoài lại màu đen, chất liệu cũng bt , nói chung với giá nvay cũng kg đòi hỏi nhiều",4,
96,"Cổ áo nhăn nhúm, 2 bên nếp gấp bị dính màu do phai ra. Chỉ và đường may ẩu. Nói chung tiền nào của nấy",4,Cảm ơn Anh chị n*****4 đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
97,"1 cái bị lỗi ,shop đã chuyển khoản lại tiền.",4,
98,Nhìn tuy k giong o hinh. Nhung ve tinh chat tạm ok. Con chat luong do bên thì k bjk nua vi cung chua dung den nên tạm thoi cho shop loi khen vay,4,Cảm ơn Anh chị pxpng76_rv đã tin tưởng mua hàng và dành thời gian đánh giá giúp Shop. Anh chị ấn THEO DÕI (Follow) shop để nhận được nhiều thông tin ưu đãi hơn nhé! Rất hi vọng được đồng hành và phục vụ Anh chị trong những đơn hàng tiếp theo ạ 💝
99,Gửi size to mặc rộng,4,
